date,AAR,AAR t-value,AAR p-value,CAAR,CAAR t-value,CAAR p-value
2021-11-11,-0.0023,-0.2691,0.7885,-0.0023,-0.0483,0.9616
2021-11-12,-0.0094,-1.1051,0.2721,-0.0117,-0.2468,0.8056
2021-11-15,0.0043,0.5059,0.6142,-0.0074,-0.1559,0.8764
2021-11-16,-0.0125,-1.4726,0.1444,-0.0199,-0.4204,0.6752
2021-11-17,-0.0021,-0.2464,0.806,-0.022,-0.4647,0.6433
2021-11-18,-0.0015,-0.1716,0.8641,-0.0235,-0.4955,0.6215
2021-11-19,-0.0082,-0.9582,0.3405,-0.0316,-0.6676,0.5061
2021-11-22,0.014,1.6445,0.1036,-0.0176,-0.3722,0.7106
2021-11-23,0.0124,1.4525,0.1499,-0.0053,-0.1114,0.9116
2021-11-24,0.0016,0.1898,0.8499,-0.0037,-0.0773,0.9386
2021-11-29,-0.0036,-0.4196,0.6758,-0.0072,-0.1526,0.879
2021-11-30,0.0076,0.8945,0.3735,0.0004,0.008,0.9936
2021-12-01,-0.0125,-1.4728,0.1443,-0.0122,-0.2565,0.7981
2021-12-02,0.0149,1.7491,0.0837,0.0027,0.0576,0.9542
2021-12-03,-0.0029,-0.3463,0.73,-0.0002,-0.0046,0.9964
2021-12-06,-0.0063,-0.7361,0.4636,-0.0065,-0.1368,0.8915
2021-12-07,-0.0294,-3.4485,0.0009,-0.0358,-0.7561,0.4516
2021-12-08,0.0096,1.1305,0.2613,-0.0262,-0.5531,0.5816
2021-12-09,-0.0,-0.0031,0.9975,-0.0262,-0.5537,0.5812
2021-12-10,-0.0052,-0.6079,0.5448,-0.0314,-0.6628,0.5091
