date,AAR,AAR t-value,AAR p-value,CAAR,CAAR t-value,CAAR p-value
2020-10-02,0.0058,0.9135,0.3634,0.0058,0.1641,0.87
2020-10-05,0.015,2.379,0.0195,0.0208,0.5914,0.5558
2020-10-06,0.0334,5.2872,0.0,0.0542,1.541,0.1269
2020-10-07,-0.0048,-0.7579,0.4505,0.0494,1.4048,0.1636
2020-10-08,0.007,1.1104,0.2698,0.0564,1.6043,0.1122
2020-10-09,-0.0119,-1.8881,0.0623,0.0445,1.2652,0.2091
2020-10-12,0.0005,0.074,0.9411,0.0449,1.2785,0.2044
2020-10-13,-0.0196,-3.1129,0.0025,0.0253,0.7194,0.4738
2020-10-14,0.009,1.4234,0.1581,0.0343,0.975,0.3322
2020-10-15,-0.0024,-0.3728,0.7102,0.0319,0.9081,0.3663
2020-10-16,-0.0048,-0.7586,0.4501,0.0271,0.7718,0.4423
2020-10-19,0.0105,1.6661,0.0992,0.0376,1.0711,0.287
2020-10-20,0.0209,3.3175,0.0013,0.0586,1.6669,0.099
2020-10-21,0.004,0.6327,0.5285,0.0626,1.7805,0.0784
2020-10-22,0.0066,1.0516,0.2958,0.0692,1.9694,0.052
2020-10-23,0.0051,0.8151,0.4172,0.0744,2.1158,0.0372
2020-10-26,0.0143,2.2638,0.026,0.0886,2.5224,0.0134
2020-10-27,-0.0248,-3.9326,0.0002,0.0638,1.8161,0.0727
2020-10-28,-0.0014,-0.2175,0.8284,0.0624,1.777,0.079
2020-10-29,-0.0024,-0.373,0.71,0.0601,1.71,0.0907
2020-10-30,0.0191,3.0306,0.0032,0.0792,2.2543,0.0266
2020-11-02,0.0096,1.5277,0.1301,0.0889,2.5287,0.0132
