Date;Close
2015-01-02;1198.800049
2015-01-05;1181.349976
2015-01-06;1161.310059
2015-01-07;1175.969971
2015-01-08;1196.130005
2015-01-09;1185.680054
2015-01-12;1180.089966
2015-01-13;1180.640015
2015-01-14;1177.060059
2015-01-15;1154.709961
2015-01-16;1176.650024
2015-01-20;1170.250000
2015-01-21;1166.250000
2015-01-22;1190.369995
2015-01-23;1188.930054
2015-01-26;1200.739990
2015-01-27;1194.660034
2015-01-28;1175.119995
2015-01-29;1190.180054
2015-01-30;1165.390015
2015-02-02;1175.510010
2015-02-03;1196.989990
2015-02-04;1191.439941
2015-02-05;1208.709961
2015-02-06;1205.459961
2015-02-09;1195.829956
2015-02-10;1203.180054
2015-02-11;1201.550049
2015-02-12;1216.270020
2015-02-13;1223.130005
2015-02-17;1225.010010
2015-02-18;1227.949951
2015-02-19;1227.910034
2015-02-20;1231.790039
2015-02-23;1231.829956
2015-02-24;1233.979980
2015-02-25;1235.099976
2015-02-26;1239.109985
2015-02-27;1233.369995
2015-03-02;1242.619995
2015-03-03;1234.760010
2015-03-04;1230.729980
2015-03-05;1234.310059
2015-03-06;1217.520020
2015-03-09;1223.589966
2015-03-10;1208.469971
2015-03-11;1215.780029
2015-03-12;1236.640015
2015-03-13;1232.140015
2015-03-16;1239.780029
2015-03-17;1242.229980
2015-03-18;1252.140015
2015-03-19;1254.859985
2015-03-20;1266.369995
2015-03-23;1264.709961
2015-03-24;1263.459961
2015-03-25;1233.849976
2015-03-26;1231.989990
2015-03-27;1240.410034
2015-03-30;1257.800049
2015-03-31;1252.770020
2015-04-01;1251.709961
2015-04-02;1255.660034
2015-04-06;1260.540039
2015-04-07;1253.359985
2015-04-08;1262.709961
2015-04-09;1259.109985
2015-04-10;1264.770020
2015-04-13;1265.589966
2015-04-14;1265.349976
2015-04-15;1275.349976
2015-04-16;1272.900024
2015-04-17;1251.859985
2015-04-20;1264.920044
2015-04-21;1264.150024
2015-04-22;1265.479980
2015-04-23;1271.540039
2015-04-24;1267.540039
2015-04-27;1252.699951
2015-04-28;1259.359985
2015-04-29;1246.949951
2015-04-30;1220.130005
2015-05-01;1228.109985
2015-05-04;1233.219971
2015-05-05;1215.420044
2015-05-06;1219.359985
2015-05-07;1225.540039
2015-05-08;1234.930054
2015-05-11;1235.829956
2015-05-12;1233.130005
2015-05-13;1232.280029
