,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
alpha,1.4460580351948398,1.4199129847731249,1.4199129847731249,1.4595649069258616,1.4711737900347466,1.4829123604339298,1.4829123604339298,1.502270086943341,1.4341864874227628,1.4514046756227803,1.5002807542107783,1.4604699639618486,1.4024516577831505,1.3910232358655041,1.3103618505605104,1.2150491498344018,1.2095745297660803,1.238363020091531,1.2576967489162165,1.2743980584500625,1.294257279277473,1.3023096720046232,1.3120692847989175,1.3972902746085125,1.349715842185023,1.3054114143043951,1.3054114143043951,1.3120824759698624,1.256964077537519,1.256964077537519,1.2545617397174949,1.2109854403026608,1.1953614184547294,1.21921799298679,1.230765272652507,1.2375753827722893,1.22940217467106,1.1890193003810985,1.182440261160028,1.1995515976655085,1.2343018227574434,1.2343018227574434,1.2343018227574434
lci,0.9104404855249478,0.9031268861101679,0.9031268861101679,0.945768980185314,0.9447306841306778,0.9608976648977721,0.9608976648977721,0.9646995185752427,0.9293242699718338,0.9705624632949297,1.0294245192358689,1.0134274853646568,0.983270489842875,0.9933434222128056,0.9507332329090289,0.8909745025685366,0.8927734079773043,0.9223754058948929,0.9471308589879572,0.9779667863070892,1.0013446645865471,1.0095201296329563,1.0208919553456628,1.1002432104214706,1.0724031543201755,1.0442795434135004,1.0442795434135004,1.0523081729257442,1.0142179307259915,1.0142179307259915,1.0190422342192995,0.9915564110584753,0.9814880535022658,1.0054835824408974,1.0175499853717715,1.0240129310925692,1.0204647451023734,0.991354383066304,0.9886378031327805,1.0069437889572563,1.041229671710148,1.041229671710148,1.041229671710148
uci,1.9816755848647318,1.9366990834360818,1.9366990834360818,1.9733608336664092,1.9976168959388154,2.0049270559700876,2.0049270559700876,2.039840655311439,1.9390487048736917,1.932246887950631,1.9711369891856876,1.9075124425590404,1.821632825723426,1.7887030495182028,1.6699904682119917,1.5391237971002671,1.526375651554856,1.554350634288169,1.5682626388444758,1.5708293305930356,1.5871698939683985,1.59509921437629,1.6032466142521722,1.6943373387955543,1.6270285300498706,1.5665432851952896,1.5665432851952896,1.5718567790139804,1.4997102243490466,1.4997102243490466,1.4900812452156904,1.4304144695468464,1.409234783407193,1.4329524035326824,1.4439805599332423,1.4511378344520092,1.4383396042397465,1.386684217695893,1.3762427191872755,1.3921594063737606,1.4273739738047388,1.4273739738047388,1.4273739738047388
