,prod_asin,prod_condition,prod_price,seller_index,seller_name,seller_rating,seller_n_reviews
84,B07C59H3BC,New,22.0,1.0,Maker Crop,40.0,5.0
85,B07C59H3BC,New,16.0,2.0,Seeed Studio Official,94.0,618.0
86,B08YQCQN3M,New,9.95,0.0,Amazon.com,88.0,903480.0
87,B08YQCQN3M,New,13.0,1.0,Book Depository US,88.0,903480.0
88,B07WV59YTZ,New,20.0,0.0,Amazon.com,95.0,668.0
89,B07WV59YTZ,New,29.0,1.0,DataAlchemy,54.0,14960.0
90,B07WV59YTZ,New,35.0,2.0,Consumer Supply Co,82.0,415.0
91,B01EV70C78,New,6.98,0.0,Amazon.com,96.0,13630.0
92,B01EV70C78,Used,5.98,1.0,Amazon Warehouse,,
93,B08JPN8Q5Y,New,15.0,0.0,Amazon.com,98.0,65.0
94,B0964H34PT,New,,0.0,Amazon.com Services LLC,,
95,B0964H34PT,New,2.99,1.0,Amazon.com Services LLC,,
96,B008A36R2Y,New,20.0,0.0,Amazon.com,95.0,668.0
97,B008A36R2Y,New,23.0,1.0,DataAlchemy,54.0,14960.0
98,B0892HYW37,New,109.0,0.0,Amazon.com,95.0,668.0
99,B087BFP3JN,New,,0.0,Amazon.com,99.0,8130.0
100,B087BFP3JN,Used,46.0,1.0,Amazon Warehouse,,
101,B01CZTLHGE,New,53.0,0.0,Amazon.com,96.0,13630.0
102,B01CZTLHGE,Used,45.0,1.0,More,,
103,B01CZTLHGE,Used,45.0,2.0,Amazon Warehouse,,
104,B08G1LPGWZ,New,14.0,0.0,Amazon.com,92.0,161.0
105,B07F3KY8NF,New,23.0,0.0,Amazon.com,97.0,297.0
106,B07TT7W832,New,39.0,0.0,Amazon.com,,
107,B07TT7W832,Used,27.0,1.0,Amazon Warehouse,,
108,B092RFCQRW,New,24.0,0.0,Amazon.com,95.0,858.0
109,B092RFCQRW,New,24.0,1.0,,,
110,B085DK1YWM,New,,0.0,Amazon.com,97.0,276.0
111,B08KTX2QWG,New,38.0,0.0,Amazon.com,,
112,B08KTX2QWG,Used,28.0,1.0,Amazon Warehouse,,
113,B08KTX2QWG,Used,28.0,2.0,Amazon Warehouse,,
114,B08MNSZD6G,New,349.0,0.0,Amazon.com,87.0,8561.0
115,B08MNSZD6G,New,349.0,1.0,Bases Loaded,87.0,8561.0
116,B08MNSZD6G,New,349.0,2.0,JustBats,97.0,3922.0
117,B08MNSZD6G,New,349.0,3.0,Protech Products Inc.,88.0,2243.0
118,B08MNSZD6G,New,349.0,4.0,HB Sports Inc.,99.0,88.0
119,B08MNSZD6G,New,349.0,5.0,"Direct Sports, Inc.",90.0,1054.0
120,B08MNSZD6G,New,349.0,6.0,Red Stick Sports,92.0,64.0
121,B08LNWGRLN,New,449.0,0.0,Razor Sports Inc.,71.0,14.0
122,B08LNWGRLN,New,499.0,1.0,Premier Bats & Sports,94.0,1966.0
123,B08LNWGRLN,New,499.0,2.0,Grizzly River Sports,91.0,14551.0
124,B08LNWGRLN,New,499.0,3.0,,,
125,B08LNWGRLN,New,499.0,4.0,"Direct Sports, Inc.",90.0,1054.0
126,B08LNWGRLN,New,499.0,5.0,JustBats,97.0,3922.0
127,B08LNWGRLN,New,499.0,6.0,Protech Products Inc.,88.0,2243.0
128,B08LNWGRLN,New,499.0,7.0,BP Athletics,96.0,3660.0
129,B08LNWGRLN,New,499.0,8.0,HB Sports Inc.,99.0,88.0
130,B08LNWGRLN,New,499.0,9.0,99Bats,98.0,1032.0
131,B08LNWGRLN,New,499.0,10.0,Everysportforless,72.0,855.0
132,B07FNF2GBF,New,69.0,0.0,JustBats,97.0,3922.0
133,B07FNF2GBF,New,71.0,1.0,,,
134,B07FNF2GBF,New,82.0,2.0,"Direct Sports, Inc.",90.0,1054.0
135,B08LNVDQG7,New,499.0,0.0,Amazon.com,91.0,14551.0
136,B08LNVDQG7,Used,436.0,1.0,Amazon Warehouse,,
137,B08LNVDQG7,New,499.0,2.0,Grizzly River Sports,91.0,14551.0
138,B08LNVDQG7,New,499.0,3.0,99Bats,98.0,1032.0
139,B08LNVDQG7,New,499.0,4.0,"Direct Sports, Inc.",90.0,1054.0
140,B08LNVDQG7,New,499.0,5.0,Protech Products Inc.,88.0,2243.0
141,B08LNVDQG7,New,499.0,6.0,Players Sporting Goods,94.0,77.0
142,B08LNVDQG7,New,499.0,7.0,HQ4SPORTS,92.0,911.0
143,B08LNVDQG7,New,499.0,8.0,So Cal Sports,83.0,24.0
144,B08LNVDQG7,New,499.0,9.0,SVP Sports,93.0,250.0
145,B08LNVDQG7,New,499.0,10.0,We Drop Bombs,95.0,21.0
146,B07FNJS22L,New,55.0,0.0,Amazon.com,90.0,1054.0
147,B07FNJS22L,Used,40.0,1.0,Amazon Warehouse,,
148,B07FNJS22L,Used,40.0,2.0,Amazon Warehouse,,
149,B07FNJS22L,Used,40.0,3.0,Amazon Warehouse,,
150,B07FNJS22L,Used,40.0,4.0,Amazon Warehouse,,
151,B07FNJS22L,Used,41.0,5.0,Amazon Warehouse,,
152,B07FNJS22L,New,54.0,6.0,"Direct Sports, Inc.",90.0,1054.0
153,B07FNJS22L,New,59.0,7.0,Sports Unlimited®,92.0,17223.0
154,B07FNJS22L,New,61.0,8.0,SoftballFans/HardballFans,83.0,17620.0
155,B07FNJS22L,New,61.0,9.0,Baseball Express/Team Express,85.0,9471.0
156,B07FNJS22L,New,66.0,10.0,LNC Sports LLC,90.0,1833.0
157,B07V8LCS9M,New,349.0,0.0,Amazon.com,97.0,3922.0
158,B07V8LCS9M,New,349.0,1.0,JustBats,97.0,3922.0
159,B07V8LCS9M,New,349.0,2.0,BP Athletics,96.0,3660.0
160,B07V8LCS9M,New,349.0,3.0,Protech Products Inc.,88.0,2243.0
161,B07V8LCS9M,New,349.0,4.0,Everysportforless,72.0,855.0
162,B07V8LCS9M,New,349.0,5.0,HQ4SPORTS,92.0,911.0
163,B07V8LCS9M,New,349.0,6.0,Daves Sport Shop,83.0,204.0
164,B07FNTZHSH,New,39.0,0.0,Amazon.com,100.0,5.0
165,B07FNTZHSH,New,39.0,1.0,Irina's Z Store,100.0,5.0
166,B07FNTZHSH,New,39.0,2.0,KNJEnterprises,100.0,28.0
167,B07FNTZHSH,New,39.0,3.0,Lifestyle by Focus,94.0,489000.0
168,B07FNTZHSH,New,41.0,4.0,"Direct Sports, Inc.",90.0,1054.0
169,B07FNTZHSH,New,36.0,5.0,HitaDouble,65.0,326.0
170,B07FNTZHSH,New,42.0,6.0,LNC Sports LLC,90.0,1833.0
171,B07FNTZHSH,New,39.0,7.0,EJG Sports,100.0,2.0
172,B07FNTZHSH,New,39.0,8.0,BP Athletics,96.0,3660.0
173,B07FNTZHSH,New,38.0,9.0,Everysportforless,72.0,855.0
174,B07FNTZHSH,New,39.0,10.0,Bob Wards,80.0,9628.0
175,B08VVWMBG9,New,399.0,0.0,Amazon.com,82.0,119.0
176,B08VVWMBG9,New,399.0,1.0,Better Baseball,82.0,119.0
177,B08VVWMBG9,New,399.0,2.0,BP Athletics,96.0,3660.0
178,B08VVWMBG9,New,399.0,3.0,Protech Products Inc.,88.0,2243.0
179,B08VVWMBG9,New,399.0,4.0,CloseoutBats,98.0,9927.0
180,B08VVWMBG9,New,399.0,5.0,Bats Plus,100.0,12.0
181,B08K9CP4VR,New,99.0,0.0,Amazon.com,88.0,2243.0
182,B08K9CP4VR,Used,87.0,1.0,Amazon Warehouse,,
183,B08K9CP4VR,Used,87.0,2.0,Amazon Warehouse,,
184,B08K9CP4VR,Used,90.0,3.0,Amazon Warehouse,,
185,B08K9CP4VR,New,99.0,4.0,Protech Products Inc.,88.0,2243.0
186,B08K9CP4VR,New,101.0,5.0,Baseball Express/Team Express,85.0,9471.0
187,B08K9CP4VR,New,101.0,6.0,SoftballFans/HardballFans,83.0,17620.0
188,B08K9CP4VR,New,126.0,7.0,BBB Sports Inc,82.0,28.0
189,B07TWN61WM,New,159.0,0.0,Amazon.com,90.0,1054.0
190,B07TWN61WM,New,159.0,1.0,"Direct Sports, Inc.",90.0,1054.0
191,B07TWN61WM,New,159.0,2.0,Protech Products Inc.,88.0,2243.0
192,B07TWN61WM,New,159.0,3.0,SVP Sports,93.0,250.0
193,B07TWN61WM,New,159.0,4.0,HQ4SPORTS,92.0,911.0
194,B07TWN61WM,New,159.0,5.0,Bob Wards,80.0,9628.0
195,B07TWN61WM,New,159.0,6.0,Everysportforless,72.0,855.0
196,B07TSFBJ74,New,331.0,0.0,Amazon.com,,
197,B07TSFBJ74,Used,284.0,1.0,Amazon Warehouse,,
198,B07TSFBJ74,New,329.0,2.0,strike three athletics inc,,
199,B07TSFBJ74,New,349.0,3.0,Bases Loaded,87.0,8561.0
200,B07TSFBJ74,New,349.0,4.0,Protech Products Inc.,88.0,2243.0
201,B07TSFBJ74,New,349.0,5.0,JustBats,97.0,3922.0
202,B07TSFBJ74,New,349.0,6.0,Baseball Express/Team Express,85.0,9471.0
203,B07TSFBJ74,New,349.0,7.0,SoftballFans/HardballFans,83.0,17620.0
204,B07TSFBJ74,New,349.0,8.0,HB Sports Inc.,99.0,88.0
205,B07TSFBJ74,New,349.0,9.0,BP Athletics,96.0,3660.0
206,B07TSFBJ74,New,349.0,10.0,Al's Sporting Goods,88.0,10560.0
207,B07CPC7ZP3,New,54.0,0.0,Protech Products Inc.,88.0,2243.0
208,B07CPC7ZP3,New,72.0,1.0,Everysportforless,72.0,855.0
209,B07CPC7ZP3,New,79.0,2.0,,,
210,B07CPC7ZP3,New,89.0,3.0,HQ4SPORTS,92.0,911.0
211,B07CPC7ZP3,New,89.0,4.0,Bargains Delivered,92.0,871.0
212,B07CPC7ZP3,New,94.0,5.0,Bob Wards,80.0,9628.0
213,B07CPC7ZP3,New,95.0,6.0,"UnbeatableSale, Inc",86.0,259463.0
214,B07CPC7ZP3,New,97.0,7.0,Trusted Sports,94.0,474.0
215,B07CPC7ZP3,New,97.0,8.0,eCop!,79.0,39596.0
216,B07CPC7ZP3,New,99.0,9.0,Berry's Athletic Supply,78.0,594.0
217,B07CPC7ZP3,New,101.0,10.0,BeachAudio,87.0,184810.0
218,B087NR2VSL,New,20.0,0.0,Amazon.com,99.0,219.0
219,B089DPS7PJ,New,99.0,0.0,Amazon.com,90.0,1054.0
220,B089DPS7PJ,Used,88.0,1.0,More,,
221,B089DPS7PJ,Used,91.0,2.0,Amazon Warehouse,,
222,B089DPS7PJ,New,99.0,3.0,"Direct Sports, Inc.",90.0,1054.0
223,B089DPS7PJ,New,99.0,4.0,JustBats,97.0,3922.0
224,B002D4IJ0Y,New,21.0,0.0,Spreetail,87.0,305191.0
225,B002D4IJ0Y,Used,18.0,1.0,Amazon Warehouse,,
226,B002D4IJ0Y,New,21.0,2.0,,,
227,B002D4IJ0Y,New,26.0,3.0,eCop!,79.0,39596.0
228,B002D4IJ0Y,New,27.0,4.0,K&S market,99.0,626.0
229,B002D4IJ0Y,New,27.0,5.0,Brickers,95.0,410.0
230,B002D4IJ0Y,New,27.0,6.0,Bargain Ben,88.0,18699.0
231,B002D4IJ0Y,New,29.0,7.0,Blade Shop,93.0,28900.0
232,B002D4IJ0Y,New,30.0,8.0,Deff Audio,91.0,890.0
233,B002D4IJ0Y,New,31.0,9.0,Marketplace Rev,90.0,4487.0
234,B002D4IJ0Y,New,32.0,10.0,KART IT,83.0,2928.0
235,B08BTCGX2B,New,179.0,0.0,Amazon.com,92.0,911.0
236,B08BTCGX2B,New,179.0,1.0,HQ4SPORTS,92.0,911.0
237,B07TYVWW43,New,249.0,0.0,Protech Products Inc.,88.0,2243.0
238,B07TYVWW43,New,249.0,1.0,,,
239,B07TYVWW43,New,249.0,2.0,"Direct Sports, Inc.",90.0,1054.0
