siren,year,company,totalassets,marketable_sec,cash,totaldebt,inventory,creditors,tradedebts,taxes,otherdebts,netincome,netsales
523712214,2014,BERTEAUD OLIVIER,21.0,0.0,5.0,27.0,0.0,1.0,0.0,0.0,25.0,3.0,92.0
523712214,2015,BERTEAUD OLIVIER,29.0,0.0,10.0,28.0,0.0,5.0,5.0,0.0,22.0,7.0,94.0
523726495,2014,NUMERO 0,103.0,0.0,0.0,41.0,0.0,5.0,3.0,3.0,0.0,12.0,46.0
523726495,2015,NUMERO 0,98.0,0.0,1.0,42.0,0.0,8.0,6.0,1.0,0.0,-5.0,35.0
523726495,2016,NUMERO 0,85.0,0.0,0.0,26.0,0.0,1.0,1.0,5.0,0.0,3.0,30.0
523726495,2017,NUMERO 0,73.0,0.0,0.0,26.0,0.0,4.0,0.0,1.0,0.0,-12.0,4.0
523734150,2014,DIRECT FRANCE,119.0,0.0,28.0,87.0,16.0,20.0,49.0,43.0,0.0,-9.0,200.0
523734150,2015,DIRECT FRANCE,157.0,0.0,5.0,122.0,43.0,41.0,67.0,55.0,16.0,3.0,203.0
523735058,2014,DISTR-I-NNOVATION,381.0,0.0,22.0,367.0,185.0,186.0,135.0,107.0,0.0,-23.0,1099.0
523735058,2015,DISTR-I-NNOVATION,527.0,0.0,132.0,309.0,186.0,140.0,194.0,105.0,0.0,-53.0,866.0
523735058,2016,DISTR-I-NNOVATION,472.0,0.0,49.0,368.0,208.0,174.0,186.0,125.0,16.0,-113.0,995.0
523735058,2017,DISTR-I-NNOVATION,557.0,0.0,54.0,404.0,261.0,245.0,198.0,110.0,2.0,34.0,1205.0
523755999,2014,EMMAPAU,637.0,0.0,94.0,357.0,89.0,171.0,0.0,25.0,47.0,66.0,2452.0
523776847,2017,STP RODRIGUES TRAVAUX PUBLICS,859.0,0.0,511.0,277.0,0.0,147.0,330.0,128.0,0.0,195.0,1293.0
523781540,2014,KOZOOM STORE,412.0,0.0,16.0,373.0,287.0,106.0,19.0,44.0,4.0,31.0,844.0
523814192,2015,NICOLAS LANTERI IMMOBILIER,513.0,0.0,432.0,431.0,0.0,9.0,5.0,82.0,322.0,0.0,768.0
523829810,2014,BOULANGERIE PATISSERIE TROEL,363.0,30.0,34.0,247.0,6.0,14.0,0.0,47.0,25.0,20.0,377.0
523829810,2016,BOULANGERIE PATISSERIE TROEL,324.0,0.0,52.0,143.0,9.0,15.0,0.0,38.0,12.0,39.0,384.0
523829828,2014,ETABLISSEMENT BERNARD LAMOLIE,341.0,1.0,8.0,281.0,65.0,62.0,121.0,85.0,1.0,3.0,926.0
523829828,2015,ETABLISSEMENT BERNARD LAMOLIE,382.0,1.0,2.0,308.0,40.0,67.0,154.0,81.0,5.0,13.0,1048.0
523829828,2016,ETABLISSEMENT BERNARD LAMOLIE,407.0,1.0,1.0,302.0,25.0,65.0,194.0,91.0,3.0,32.0,1151.0
523829828,2017,ETABLISSEMENT BERNARD LAMOLIE,447.0,0.0,29.0,330.0,27.0,77.0,179.0,106.0,1.0,20.0,1229.0
523849941,2014,A BALANINA,234.0,0.0,19.0,245.0,34.0,52.0,4.0,74.0,0.0,-37.0,937.0
523849941,2015,A BALANINA,255.0,0.0,40.0,213.0,20.0,60.0,0.0,52.0,0.0,47.0,1023.0
523880433,2014,ATLANTIC PODO,193.0,0.0,52.0,30.0,30.0,17.0,36.0,12.0,0.0,33.0,394.0
523880433,2015,ATLANTIC PODO,196.0,0.0,51.0,33.0,33.0,22.0,35.0,10.0,0.0,8.0,436.0
523880433,2016,ATLANTIC PODO,234.0,0.0,88.0,46.0,38.0,27.0,37.0,11.0,0.0,32.0,509.0
523880433,2017,ATLANTIC PODO,292.0,0.0,134.0,84.0,45.0,69.0,41.0,15.0,0.0,29.0,574.0
523890192,2014,IDEE BLANCHE CONSEIL,140.0,0.0,51.0,119.0,0.0,2.0,83.0,47.0,13.0,11.0,129.0
523890192,2015,IDEE BLANCHE CONSEIL,142.0,0.0,58.0,116.0,0.0,1.0,76.0,53.0,0.0,19.0,140.0
523901338,2014,EUREKA LOGISTIQUE BORDEAUX,955.0,0.0,131.0,491.0,0.0,326.0,580.0,144.0,19.0,52.0,1462.0
