"Libellé";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes";"Indice des prix à la consommation - Base 2015 - Variations mensuelles - Ensemble des ménages - France - Ensemble y compris loyers fictifs";"Codes"
"2021-02";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2021-01";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020-12";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020-11";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"0.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020-10";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020-09";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"-0.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020-08";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"-0.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020-07";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"0.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020-06";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020-05";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"0.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020-04";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"0.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
