,,daily,daily,daily,daily,monthly,monthly,monthly,monthly,annual,annual,annual,annual
,,value,std_error,t_value,p_value,value,std_error,t_value,p_value,value,std_error,t_value,p_value
name,feature,,,,,,,,,,,,
XLB,const,-2.548746621119837e-05,0.00018939738374089556,-0.1345713742596699,0.8929642422438124,-0.0008378860792245708,0.00295705852365951,-0.28335119934915737,0.7775442635871574,-0.013654429399935792,0.037784393996010454,-0.36137748831905375,0.7360966439637282
XLB,mkt-rf,1.1624901484145425,0.01589250235167242,73.14708047170494,0.0,1.3060594059699024,0.07693505995781237,16.976127745738875,4.283804648393855e-30,1.2615243650805847,0.21418125705575317,5.88998487739849,0.0041545840432965315
XLB,smb,0.12941195556414822,0.031442601605586644,4.115815770828411,4.013912827997657e-05,-0.04370852084365506,0.14547980681751177,-0.3004439021456946,0.764516450962029,0.038788295289280184,0.5659884886471146,0.0685319508564495,0.9486512669789909
XLB,hml,-0.24525574656844984,0.029077371189537002,-8.434591454976541,6.253003294325614e-17,-0.11745280669289562,0.11720217150991206,-1.002138485829696,0.31890526216964443,-0.3963507854022809,0.37298196022179436,-1.06265403604665,0.34783719867238694
XLB,R_squared,0.7700958442278188,,,,0.8100117507904789,,,,0.9170039119986892,,,
XLK,const,-4.150591421540873e-05,0.00012533524759330701,-0.3311591512555896,0.7405587763252095,-0.0016191721483846226,0.00193093792729284,-0.8385417912706751,0.40389991950823767,-0.016538022799970246,0.03302766834998629,-0.5007323745872938,0.642858032082964
XLK,mkt-rf,1.0175527986960222,0.010516991722805822,96.75321855483499,0.0,1.0903205570701315,0.05023804027633582,21.703086965032696,5.844036918944966e-38,1.1866418361055115,0.18721770489603437,6.338299237053872,0.0031726428983980823
XLK,smb,-0.046244545279685884,0.020807395431634915,-2.2225052352961545,0.026360022600656167,0.19776127173440622,0.09499726650371651,2.0817574969556554,0.040141925417807374,-0.14824477827023083,0.4947354745168245,-0.2996445290587091,0.7793736226402079
XLK,hml,-0.29757332404241915,0.019242185110586573,-15.464632646045052,4.6388580618311706e-51,-0.4700534497322823,0.07653217422612904,-6.141906387546483,2.0506813739150506e-08,-0.6167724586473978,0.32602678460408563,-1.8917846255987296,0.1314793784596343
XLK,R_squared,0.8461171361994171,,,,0.8765623995308444,,,,0.9292484096997088,,,
XLU,const,0.00010395230176983602,0.0001756364878555024,0.5918605128073299,0.5540105271816063,0.002507425466422618,0.0030307407036624548,0.8273309106887818,0.4101903412553928,0.04459862407088422,0.02443710055517522,1.8250374658886954,0.14204358268525563
XLU,mkt-rf,0.753663788539499,0.014737813380261307,51.13810095796831,0.0,0.6378044037046197,0.07885208083886465,8.088618549052397,2.3550985482796403e-12,0.8391321590248069,0.13852197593159524,6.057754759715427,0.003748476546035117
XLU,smb,-0.2939043803398565,0.02915810137377617,-10.079681683396037,2.4101368991385834e-23,-0.42415097947965674,0.14910478387730153,-2.844650375729668,0.005479413005094617,-1.3684797147913144,0.3660537102064301,-3.7384669971507245,0.02014790185621759
XLU,hml,-0.24722383068218287,0.02696471963302159,-9.168418364692622,1.1515438183600538e-19,-0.2583918508786194,0.12012254370709205,-2.1510687578235483,0.03409108516336812,0.26366743924300523,0.24122651452789579,1.0930284332923708,0.3357941195517029
XLU,R_squared,0.5941208580704032,,,,0.4199215362121491,,,,0.906683929924356,,,
