Year; Equity Risk Premium; Risk Free Rate; Expected Market Return
2020;6.96;0.91;8.55
2019;4.58;1.92;8.4
2018;6.06;2.68;10.71
2017;4.94;2.41;9.17
2016;4.86;2.44;8.97
2015;4.81;2.27;9.41
2014;5.06;2.17;9.24
2013;5.42;3.03;9.77
2012;5.76;1.76;10.51
2011;5.5; ;10.6
2010;4.95;—;11.65
2009;4.48;—;10.65
2008;7.2;—;11.73
2007;5.86;—;10.8
2006;4.2;—;9.77
2005;6.01;—;10.31
2004;4.7;—;8.77
2003;4.48;—;9.4
2002;4.79;—;10.73
2001;2.89;—;9.5
2000;1.95;—;8.04
